"Tuesday, Oct 16, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Philadelphia,Boston,8:00 PM,TD Garden,TNT,Tickets starting at $126.50
Oklahoma City,Golden St.,10:30 PM,ORACLE Arena,TNT,Tickets starting at $176.76
"Wednesday, Oct 17, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Milwaukee,Charlotte,7:00 PM,Spectrum Center,,Tickets starting at $21.70
Memphis,Indiana,7:00 PM,Bankers Life Fieldhouse,,Tickets starting at $15.04
Miami,Orlando,7:00 PM,Amway Center,,Tickets starting at $29.78
Brooklyn,Detroit,7:00 PM,The Palace of Auburn Hills,,Tickets starting at $24.82
Cleveland,Toronto,7:30 PM,Air Canada Centre,,Tickets starting at $59.52
Atlanta,New York,7:30 PM,Madison Square Garden,,Tickets starting at $112.86
New Orleans,Houston,8:00 PM,Toyota Center,ESPN,Tickets starting at $31.35
Minnesota,San Antonio,8:30 PM,AT&T Center,,Tickets starting at $22.08
Utah,Sacramento,10:00 PM,Golden 1 Center,,Tickets starting at $37.22
Dallas,Phoenix,10:30 PM,Talking Stick Resort Arena,ESPN,Tickets starting at $25.30
Denver,L.A. Clippers,10:30 PM,STAPLES Center,,Tickets starting at $15.15
"Thursday, Oct 18, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Miami,Washington,8:00 PM,Capital One Arena,,Tickets starting at $17.38
Chicago,Philadelphia,8:00 PM,Wells Fargo Center,TNT,Tickets starting at $58.91
L.A. Lakers,Portland,10:30 PM,Moda Center,TNT,Tickets starting at $138.90
"Friday, Oct 19, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Charlotte,Orlando,7:00 PM,Amway Center,,Tickets starting at $20.17
New York,Brooklyn,7:30 PM,Barclays Center,,Tickets starting at $100.19
Cleveland,Minnesota,8:00 PM,Target Center,,Tickets starting at $33.50
Sacramento,New Orleans,8:00 PM,Smoothie King Center,,Tickets starting at $18.58
Boston,Toronto,8:00 PM,Air Canada Centre,ESPN,Tickets starting at $105.40
Atlanta,Memphis,8:00 PM,FedExForum,,Tickets starting at $11.79
Indiana,Milwaukee,8:30 PM,BMO Harris Bradley Center,,Tickets starting at $95.50
Golden St.,Utah,10:30 PM,Vivint Smart Home Arena,ESPN,Tickets starting at $107.90
Oklahoma City,L.A. Clippers,10:30 PM,STAPLES Center,NBAt,Tickets starting at $32.50
"Saturday, Oct 20, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Toronto,Washington,7:00 PM,Capital One Arena,NBAt,Tickets starting at $24.04
Brooklyn,Indiana,7:00 PM,Bankers Life Fieldhouse,,Tickets starting at $16.28
Orlando,Philadelphia,7:30 PM,Wells Fargo Center,,Tickets starting at $39.70
Boston,New York,7:30 PM,Madison Square Garden,,Tickets starting at $198.70
Detroit,Chicago,8:00 PM,United Center,,Tickets starting at $30.05
Charlotte,Miami,8:00 PM,AmericanAirlines Arena,,Tickets starting at $40.90
Minnesota,Dallas,8:30 PM,American Airlines Center,,Tickets starting at $19.23
Phoenix,Denver,9:00 PM,Pepsi Center,,Tickets starting at $20.31
San Antonio,Portland,10:00 PM,Moda Center,,Tickets starting at $22.87
Houston,L.A. Lakers,10:30 PM,STAPLES Center,ESPN,Tickets starting at $317.46
"Sunday, Oct 21, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Atlanta,Cleveland,6:00 PM,Quicken Loans Arena,,Tickets starting at $25.04
Sacramento,Oklahoma City,7:00 PM,Chesapeake Energy Arena,,Tickets starting at $33.19
Golden St.,Denver,8:00 PM,Pepsi Center,,Tickets starting at $49.31
Houston,L.A. Clippers,9:00 PM,STAPLES Center,NBAt,Tickets starting at $35.38
"Monday, Oct 22, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Orlando,Boston,7:30 PM,TD Garden,NBAt,Tickets starting at $33.50
Charlotte,Toronto,7:30 PM,Air Canada Centre,,Tickets starting at $27.62
Indiana,Minnesota,8:00 PM,Target Center,,Tickets starting at $19.84
New York,Milwaukee,8:00 PM,BMO Harris Bradley Center,,Tickets starting at $17.32
Chicago,Dallas,8:30 PM,American Airlines Center,,Tickets starting at $9.94
Memphis,Utah,9:00 PM,Vivint Smart Home Arena,,Tickets starting at $21.10
Washington,Portland,10:00 PM,Moda Center,,Tickets starting at $12.10
Phoenix,Golden St.,10:30 PM,ORACLE Arena,,Tickets starting at $85.44
San Antonio,L.A. Lakers,10:30 PM,STAPLES Center,NBAt,Tickets starting at $113.98
"Tuesday, Oct 23, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Philadelphia,Detroit,7:00 PM,The Palace of Auburn Hills,NBAt,Tickets starting at $18.62
L.A. Clippers,New Orleans,8:00 PM,Smoothie King Center,,Tickets starting at $14.02
Sacramento,Denver,9:00 PM,Pepsi Center,,Tickets starting at $17.83
"Wednesday, Oct 24, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Brooklyn,Cleveland,7:00 PM,Quicken Loans Arena,,Tickets starting at $9.70
Dallas,Atlanta,7:00 PM,Philips Arena,ESPN,Tickets starting at $30.02
Minnesota,Toronto,7:30 PM,Air Canada Centre,,Tickets starting at $35.71
New York,Miami,7:30 PM,AmericanAirlines Arena,,Tickets starting at $37.20
Charlotte,Chicago,8:00 PM,United Center,,Tickets starting at $21.47
Utah,Houston,8:00 PM,Toyota Center,,Tickets starting at $12.94
Indiana,San Antonio,8:30 PM,AT&T Center,,Tickets starting at $11.12
Philadelphia,Milwaukee,9:30 PM,BMO Harris Bradley Center,ESPN,Tickets starting at $24.10
L.A. Lakers,Phoenix,10:00 PM,Talking Stick Resort Arena,,Tickets starting at $104.50
Memphis,Sacramento,10:00 PM,Golden 1 Center,,Tickets starting at $23.97
Washington,Golden St.,10:30 PM,ORACLE Arena,,Tickets starting at $93.02
"Thursday, Oct 25, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Portland,Orlando,7:00 PM,Amway Center,,Tickets starting at $21.04
Cleveland,Detroit,7:00 PM,The Palace of Auburn Hills,,Tickets starting at $13.33
Boston,Oklahoma City,8:00 PM,Chesapeake Energy Arena,TNT,Tickets starting at $39.70
Denver,L.A. Lakers,10:30 PM,STAPLES Center,TNT,Tickets starting at $100.46
"Friday, Oct 26, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Chicago,Charlotte,7:00 PM,Spectrum Center,,Tickets starting at $16.76
Golden St.,New York,7:30 PM,Madison Square Garden,NBAt,Tickets starting at $236.86
Dallas,Toronto,7:30 PM,Air Canada Centre,,Tickets starting at $48.74
Brooklyn,New Orleans,8:00 PM,Smoothie King Center,,Tickets starting at $15.17
Milwaukee,Minnesota,8:00 PM,Target Center,,Tickets starting at $37.91
L.A. Clippers,Houston,8:00 PM,Toyota Center,,Tickets starting at $21.73
Washington,Sacramento,10:00 PM,Golden 1 Center,NBAt,Tickets starting at $25.44
"Saturday, Oct 27, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Boston,Detroit,7:00 PM,The Palace of Auburn Hills,,Tickets starting at $44.50
Utah,New Orleans,7:00 PM,Smoothie King Center,,Tickets starting at $16.86
Chicago,Atlanta,7:30 PM,Philips Arena,,Tickets starting at $36.60
Indiana,Cleveland,7:30 PM,Quicken Loans Arena,,Tickets starting at $14.83
Charlotte,Philadelphia,7:30 PM,Wells Fargo Center,,Tickets starting at $33.50
Phoenix,Memphis,8:00 PM,FedExForum,,Tickets starting at $11.79
Portland,Miami,8:00 PM,AmericanAirlines Arena,,Tickets starting at $38.50
L.A. Lakers,San Antonio,8:30 PM,AT&T Center,,Tickets starting at $106.90
Orlando,Milwaukee,8:30 PM,BMO Harris Bradley Center,,Tickets starting at $21.10
"Sunday, Oct 28, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Golden St.,Brooklyn,5:00 PM,Barclays Center,,Tickets starting at $134.00
Phoenix,Oklahoma City,7:00 PM,Chesapeake Energy Arena,,Tickets starting at $14.90
Utah,Dallas,7:00 PM,American Airlines Center,,Tickets starting at $9.94
Washington,L.A. Clippers,9:30 PM,STAPLES Center,,Tickets starting at $14.90
"Monday, Oct 29, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Portland,Indiana,7:00 PM,Bankers Life Fieldhouse,,Tickets starting at $15.15
Atlanta,Philadelphia,7:00 PM,Wells Fargo Center,,Tickets starting at $19.69
Sacramento,Miami,7:30 PM,AmericanAirlines Arena,,Tickets starting at $21.57
Brooklyn,New York,7:30 PM,Madison Square Garden,,Tickets starting at $91.29
Golden St.,Chicago,8:00 PM,United Center,,Tickets starting at $95.50
Toronto,Milwaukee,8:00 PM,BMO Harris Bradley Center,,Tickets starting at $13.35
L.A. Lakers,Minnesota,8:00 PM,Target Center,NBAt,Tickets starting at $89.29
Dallas,San Antonio,8:30 PM,AT&T Center,,Tickets starting at $21.04
New Orleans,Denver,9:00 PM,Pepsi Center,,Tickets starting at $21.10
"Tuesday, Oct 30, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
