DATE,EASTERN GAME TIME,LOCAL GAME TIME,REST DAYS,ROAD TEAM,HOME TEAM,REST DAYS,ARENA
10/22,8:00 PM,8:00 PM,3+,New Orleans Pelicans,Toronto Raptors,3+,Scotiabank Arena
10/22,10:30 PM,7:30 PM,3+,Los Angeles Lakers,Los Angeles Clippers,3+,Staples Center
10/23,7:00 PM,7:00 PM,3+,Chicago Bulls,Charlotte Hornets,3+,Spectrum Center
10/23,7:00 PM,7:00 PM,3+,Cleveland Cavaliers,Orlando Magic,3+,Amway Center
10/23,7:00 PM,7:00 PM,3+,Detroit Pistons,Indiana Pacers,3+,Bankers Life Fieldhouse
10/23,7:30 PM,7:30 PM,3+,Boston Celtics,Philadelphia 76ers,3+,Wells Fargo Center
10/23,7:30 PM,7:30 PM,3+,Minnesota Timberwolves,Brooklyn Nets,3+,Barclays Center
10/23,7:30 PM,7:30 PM,3+,Memphis Grizzlies,Miami Heat,3+,American Airlines Arena
10/23,8:30 PM,7:30 PM,3+,Washington Wizards,Dallas Mavericks,3+,American Airlines Center
10/23,8:30 PM,7:30 PM,3+,New York Knicks,San Antonio Spurs,3+,AT&T Center
10/23,9:00 PM,7:00 PM,3+,Oklahoma City Thunder,Utah Jazz,3+,Vivint Smart Home Arena
10/23,10:00 PM,7:00 PM,3+,Denver Nuggets,Portland Trail Blazers,3+,Moda Center
10/23,10:00 PM,7:00 PM,3+,Sacramento Kings,Phoenix Suns,3+,Talking Stick Resort Arena
10/24,7:00 PM,7:00 PM,3+,Atlanta Hawks,Detroit Pistons,B2B,Little Caesars Arena
10/24,8:00 PM,7:00 PM,3+,Milwaukee Bucks,Houston Rockets,3+,Toyota Center
10/24,10:30 PM,7:30 PM,1,Los Angeles Clippers,Golden State Warriors,3+,Chase Center
10/25,7:00 PM,7:00 PM,2,Toronto Raptors,Boston Celtics,1,TD Garden
10/25,7:00 PM,7:00 PM,1,Minnesota Timberwolves,Charlotte Hornets,1,Spectrum Center
10/25,7:30 PM,7:30 PM,1,New York Knicks,Brooklyn Nets,1,Barclays Center
10/25,8:00 PM,7:00 PM,1,Chicago Bulls,Memphis Grizzlies,1,FedExForum
10/25,8:00 PM,7:00 PM,1,Dallas Mavericks,New Orleans Pelicans,2,Smoothie King Center
10/25,8:00 PM,7:00 PM,1,Washington Wizards,Oklahoma City Thunder,1,Chesapeake Energy Arena
10/25,9:00 PM,7:00 PM,1,Phoenix Suns,Denver Nuggets,1,Pepsi Center
10/25,10:00 PM,7:00 PM,1,Portland Trail Blazers,Sacramento Kings,1,Golden 1 Center
10/25,10:30 PM,7:30 PM,1,Utah Jazz,Los Angeles Lakers,2,Staples Center
10/26,5:00 PM,4:00 PM,2,Miami Heat,Milwaukee Bucks,1,Fiserv Forum
10/26,7:00 PM,7:00 PM,2,Philadelphia 76ers,Detroit Pistons,3IN4,Little Caesars Arena
10/26,7:30 PM,7:30 PM,2,Orlando Magic,Atlanta Hawks,1,State Farm Arena
10/26,7:30 PM,7:30 PM,3IN4-B2B,Boston Celtics,New York Knicks,3IN4-B2B,Madison Square Garden
10/26,8:00 PM,7:00 PM,B2B,Toronto Raptors,Chicago Bulls,3IN4-B2B,United Center
10/26,8:00 PM,8:00 PM,2,Indiana Pacers,Cleveland Cavaliers,2,Rocket Mortgage FieldHouse
10/26,8:00 PM,7:00 PM,B2B,New Orleans Pelicans,Houston Rockets,1,Toyota Center
10/26,8:30 PM,7:30 PM,3IN4-B2B,Washington Wizards,San Antonio Spurs,2,AT&T Center
10/26,9:00 PM,7:00 PM,3IN4-B2B,Sacramento Kings,Utah Jazz,3IN4-B2B,Vivint Smart Home Arena
10/26,10:00 PM,7:00 PM,1,Los Angeles Clippers,Phoenix Suns,3IN4-B2B,Talking Stick Resort Arena
10/27,3:30 PM,2:30 PM,2,Golden State Warriors,Oklahoma City Thunder,1,Chesapeake Energy Arena
10/27,6:00 PM,5:00 PM,1,Brooklyn Nets,Memphis Grizzlies,1,FedExForum
10/27,7:00 PM,6:00 PM,1,Portland Trail Blazers,Dallas Mavericks,1,American Airlines Center
10/27,7:00 PM,6:00 PM,B2B,Miami Heat,Minnesota Timberwolves,1,Target Center
10/27,9:30 PM,6:30 PM,1,Charlotte Hornets,Los Angeles Lakers,1,Staples Center
10/28,7:00 PM,7:00 PM,3IN4,Chicago Bulls,New York Knicks,3IN4,Madison Square Garden
10/28,7:00 PM,7:00 PM,1,Indiana Pacers,Detroit Pistons,1,Little Caesars Arena
10/28,7:30 PM,7:30 PM,1,Philadelphia 76ers,Atlanta Hawks,1,State Farm Arena
10/28,7:30 PM,7:30 PM,1,Orlando Magic,Toronto Raptors,3IN4,Scotiabank Arena
10/28,8:00 PM,7:00 PM,1,Cleveland Cavaliers,Milwaukee Bucks,1,Fiserv Forum
10/28,8:00 PM,7:00 PM,B2B,Golden State Warriors,New Orleans Pelicans,3IN4,Smoothie King Center
10/28,8:00 PM,7:00 PM,3IN4-B2B,Oklahoma City Thunder,Houston Rockets,1,Toyota Center
10/28,8:30 PM,7:30 PM,3IN4-B2B,Portland Trail Blazers,San Antonio Spurs,1,AT&T Center
10/28,10:00 PM,7:00 PM,2,Denver Nuggets,Sacramento Kings,3IN4,Golden 1 Center
10/28,10:00 PM,7:00 PM,3IN4,Utah Jazz,Phoenix Suns,3IN4,Talking Stick Resort Arena
10/28,10:30 PM,7:30 PM,3IN4-B2B,Charlotte Hornets,Los Angeles Clippers,1,Staples Center
10/29,7:30 PM,7:30 PM,3IN4-B2B,Atlanta Hawks,Miami Heat,3IN4,American Airlines Arena
10/29,9:00 PM,7:00 PM,1,Dallas Mavericks,Denver Nuggets,B2B,Pepsi Center
10/29,10:30 PM,7:30 PM,1,Memphis Grizzlies,Los Angeles Lakers,1,Staples Center
10/30,7:00 PM,7:00 PM,1,Chicago Bulls,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
10/30,7:00 PM,7:00 PM,2,Minnesota Timberwolves,Philadelphia 76ers,1,Wells Fargo Center
10/30,7:00 PM,7:00 PM,1,New York Knicks,Orlando Magic,1,Amway Center
10/30,7:30 PM,7:30 PM,1,Milwaukee Bucks,Boston Celtics,3+,TD Garden
10/30,7:30 PM,7:30 PM,1,Indiana Pacers,Brooklyn Nets,2,Barclays Center
10/30,7:30 PM,7:30 PM,1,Detroit Pistons,Toronto Raptors,1,Scotiabank Arena
10/30,8:00 PM,8:00 PM,1,Houston Rockets,Washington Wizards,3+,Capital One Arena
10/30,8:00 PM,7:00 PM,3IN4,Portland Trail Blazers,Oklahoma City Thunder,3IN4,Chesapeake Energy Arena
10/30,10:00 PM,7:00 PM,3IN4,Charlotte Hornets,Sacramento Kings,1,Golden 1 Center
10/30,10:00 PM,8:00 PM,1,Los Angeles Clippers,Utah Jazz,1,Vivint Smart Home Arena
10/30,10:30 PM,7:30 PM,1,Phoenix Suns,Golden State Warriors,3IN4,Chase Center
10/31,7:00 PM,7:00 PM,1,Miami Heat,Atlanta Hawks,3IN4,State Farm Arena
10/31,9:30 PM,8:30 PM,3IN4,Denver Nuggets,New Orleans Pelicans,2,Smoothie King Center
10/31,10:30 PM,7:30 PM,2,San Antonio Spurs,Los Angeles Clippers,3IN4-B2B,Staples Center
11/1,7:00 PM,7:00 PM,1,Houston Rockets,Brooklyn Nets,1,Barclays Center
11/1,7:00 PM,7:00 PM,1,Cleveland Cavaliers,Indiana Pacers,1,Bankers Life Fieldhouse
11/1,7:00 PM,7:00 PM,1,Milwaukee Bucks,Orlando Magic,1,Amway Center
11/1,7:30 PM,7:30 PM,1,New York Knicks,Boston Celtics,1,TD Garden
11/1,8:00 PM,7:00 PM,1,Detroit Pistons,Chicago Bulls,1,United Center
11/1,9:30 PM,8:30 PM,2,Los Angeles Lakers,Dallas Mavericks,2,American Airlines Center
11/1,10:00 PM,7:00 PM,1,Utah Jazz,Sacramento Kings,1,Golden 1 Center
11/1,10:30 PM,7:30 PM,B2B,San Antonio Spurs,Golden State Warriors,1,Chase Center
11/2,5:00 PM,4:00 PM,1,New Orleans Pelicans,Oklahoma City Thunder,2,Chesapeake Energy Arena
11/2,7:00 PM,7:00 PM,3IN4-B2B,Brooklyn Nets,Detroit Pistons,3IN4-B2B,Little Caesars Arena
11/2,7:00 PM,7:00 PM,1,Denver Nuggets,Orlando Magic,3IN4-B2B,Amway Center
11/2,8:00 PM,7:00 PM,2,Phoenix Suns,Memphis Grizzlies,3+,FedExForum
11/2,8:00 PM,7:00 PM,2,Toronto Raptors,Milwaukee Bucks,3IN4-B2B,Fiserv Forum
11/2,8:00 PM,8:00 PM,2,Minnesota Timberwolves,Washington Wizards,2,Capital One Arena
11/2,8:30 PM,5:30 PM,2,Charlotte Hornets,Golden State Warriors,3IN4-B2B,Chase Center
11/2,10:00 PM,7:00 PM,2,Philadelphia 76ers,Portland Trail Blazers,2,Moda Center
11/3,5:00 PM,5:00 PM,1,Chicago Bulls,Indiana Pacers,1,Bankers Life Fieldhouse
11/3,6:00 PM,6:00 PM,1,Houston Rockets,Miami Heat,2,American Airlines Arena
11/3,6:00 PM,6:00 PM,1,Sacramento Kings,New York Knicks,1,Madison Square Garden
11/3,7:00 PM,6:00 PM,1,Los Angeles Lakers,San Antonio Spurs,3IN4,AT&T Center
11/3,7:30 PM,7:30 PM,1,Dallas Mavericks,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
11/3,9:00 PM,6:00 PM,1,Utah Jazz,Los Angeles Clippers,2,Staples Center
11/4,7:00 PM,7:00 PM,3IN4,Detroit Pistons,Washington Wizards,1,Capital One Arena
11/4,7:30 PM,7:30 PM,1,New Orleans Pelicans,Brooklyn Nets,3IN4,Barclays Center
11/4,8:00 PM,7:00 PM,3IN4-B2B,Houston Rockets,Memphis Grizzlies,1,FedExForum
11/4,8:00 PM,7:00 PM,3IN4,Milwaukee Bucks,Minnesota Timberwolves,1,Target Center
11/4,9:00 PM,6:00 PM,1,Philadelphia 76ers,Phoenix Suns,1,Talking Stick Resort Arena
11/4,10:30 PM,7:30 PM,1,Portland Trail Blazers,Golden State Warriors,3IN4,Chase Center
11/5,7:00 PM,7:00 PM,3+,Boston Celtics,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
11/5,7:00 PM,7:00 PM,1,Indiana Pacers,Charlotte Hornets,2,Spectrum Center
11/5,7:30 PM,7:30 PM,1,San Antonio Spurs,Atlanta Hawks,3+,State Farm Arena
11/5,8:00 PM,7:00 PM,1,Los Angeles Lakers,Chicago Bulls,1,United Center
11/5,8:00 PM,7:00 PM,2,Orlando Magic,Oklahoma City Thunder,2,Chesapeake Energy Arena
11/5,9:00 PM,7:00 PM,1,Miami Heat,Denver Nuggets,2,Pepsi Center
