Code,FullName,CityName,NickName,AlternateName,OldName
ATL,Atlanta Hawks,Atlanta,Hawks,,
BOS,Boston Celtics,Boston,Celtics,,
BKN,Brooklyn Nets,Brooklyn,Nets,, New Jersey Nets
CHA,Charlotte Bobcats,Charlotte,Bobcats,,
CHI,Chicago Bulls,Chicago,Bulls,,
CLE,Cleveland Cavaliers,Cleveland,Cavaliers,,
DAL,Dallas Mavericks,Dallas,Mavericks,MAVS,
DEN,Denver Nuggets,Denver,Nuggets,,
DET,Detroit Pistons,Detroit,Pistons,,
GSW,Golden State Warriors,Golden St.,Warriors,GS,
HOU,Houston Rockets,Houston,Rockets,,
IND,Indiana Pacers,Indiana,Pacers,,
LAC,Los Angeles Clippers,L.A. Clippers,Clippers,,
LAL,Los Angeles Lakers,L.A. Lakers,Lakers,,
MEM,Memphis Grizzlies,Memphis,Grizzlies,,
MIA,Miami Heat,Miami,Heat,,
MIL,Milwaukee Bucks,Milwaukee,Bucks,,
MIN,Minnesota Timberwolves,Minnesota,Timberwolves,,
NOP,New Orleans Pelicans,New Orleans,Pelicans,NO,New Orleans Hornets
NYK,New York Knicks,New York,Knicks,,
OKC,Oklahoma City Thunder,Oklahoma City,Thunder,Oklahoma,
ORL,Orlando Magic,Orlando,Magic,,
PHI,Philadelphia 76ers,Philadelphia,Sixers,Philly,
PHX,Phoenix Suns,Phoenix,Suns,PHO,
POR,Portland Trail Blazers,Portland,Trailblazers,Trailblazers,
SAC,Sacramento Kings,Sacramento,Kings,,
SAS,San Antonio Spurs,San Antonio,Spurs,SA,
TOR,Toronto Raptors,Toronto,Raptors,,
UTA,Utah Jazz,Utah,Jazz,UTH,
WAS,Washington Wizards,Washington,Wizards,,
